ride_id,pickup_datetime,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,passenger_count,distance_km,hour,dayofweek,is_weekend,is_night,is_peak,weather,traffic_level,demand_score,supply_score,event_flag,surge_multiplier,surge_label,eta_minutes,fare_amount
MX000011,2024-01-01 10:00:00,28.686018148821457,77.07062296585651,28.832718435387587,77.01794452029199,2,11.728744170224827,22,6,1,0,0,Fog,High,0.286,0.277,0,2.5,1,38,749.66
MX000012,2024-01-01 11:00:00,28.407088757615416,77.26696320642529,28.452732759826034,77.3367242227722,1,12.110284874698522,11,1,0,0,1,Clouds,Low,0.291,0.909,0,3.4,0,56,173.86
MX000013,2024-01-01 12:00:00,28.545059485252402,77.2205866666263,28.496088860682004,77.04805877524197,1,14.603335229525154,7,6,0,0,0,Fog,High,0.136,0.397,0,3.1,0,20,759.27
MX000014,2024-01-01 13:00:00,28.877042136864702,77.27812916825332,28.831148092638763,77.00391944564771,1,17.69051174162352,1,2,0,0,0,Haze,High,0.64,0.102,0,2.9,0,28,359.23
MX000015,2024-01-01 14:00:00,28.523483980447175,77.3139358003454,28.749550672932028,77.28249358793808,1,6.276463537186337,21,2,1,0,0,Clear,High,0.445,0.888,0,1.3,0,50,256.32
MX000016,2024-01-01 15:00:00,28.586114624175746,77.17306388824666,28.805487509279,77.0279419029243,1,21.980779558657122,8,2,0,1,0,Clear,High,0.333,0.726,0,3.4,0,5,694.88
MX000017,2024-01-01 16:00:00,28.590079377057833,77.27445789144872,28.657146345989112,76.94718414728342,1,17.395446283549102,1,5,0,1,1,Clouds,High,0.405,0.823,0,1.2,0,14,200.33
MX000018,2024-01-01 17:00:00,28.794971034132782,77.00558186125298,28.873454424729008,77.01738505401224,1,11.12818947361359,9,0,0,1,1,Fog,Low,0.335,0.859,0,2.6,0,49,475.87
MX000019,2024-01-01 18:00:00,28.55459032318638,77.02178810751116,28.41179329718077,77.19024957400002,1,16.91061920317482,13,5,0,1,0,Clouds,Medium,0.83,0.891,1,3.2,0,10,202.08
MX000020,2024-01-01 19:00:00,28.68955700706064,77.04903776840113,28.812205764018067,76.98368760494562,2,5.417613540317566,15,6,0,0,1,Clouds,High,0.95,0.204,0,1.6,0,50,139.26
MX000021,2024-01-01 20:00:00,28.856769817513296,77.05097012371697,28.658404821132937,77.11151925692292,1,1.3321469200251823,23,5,1,1,0,Fog,High,0.223,0.22,0,1.4,0,47,662.85
MX000022,2024-01-01 21:00:00,28.614773465156155,77.09185494579745,28.425541240190658,77.28981251684863,2,21.679631246781355,0,1,0,0,1,Fog,High,0.28,0.807,0,1.2,0,10,204.38
MX000023,2024-01-01 22:00:00,28.693466610880336,77.37954943118828,28.41854191608446,77.0423981213197,1,5.2383681870992485,16,2,0,0,0,Fog,High,0.957,0.382,0,2.5,0,15,781.24
MX000024,2024-01-01 23:00:00,28.502134302156684,77.220829199563,28.686477191075035,76.96601069576461,2,20.080020694321007,17,0,0,1,1,Rain,Low,0.313,0.732,0,2.3,0,15,381.0
MX000025,2024-01-02 00:00:00,28.878190090725617,77.36698860166801,28.77437120741848,77.30492414010021,1,19.14965715079647,17,1,1,1,0,Fog,Low,0.959,0.58,0,3.1,0,52,591.17
MX000026,2024-01-02 01:00:00,28.427746486233275,77.20032269433919,28.671099996823006,77.06961527967532,2,28.18877772986772,6,5,1,1,0,Rain,Medium,0.19,0.649,0,3.4,0,19,635.15
MX000027,2024-01-02 02:00:00,28.553116300783906,77.00793261710979,28.496225172715537,77.21710524924822,1,10.688861553159187,10,4,1,1,1,Clear,Low,0.845,0.605,0,2.5,0,11,106.89
MX000028,2024-01-02 03:00:00,28.827621303662834,77.23652346235906,28.52104382890315,76.97694139340763,1,12.054572041856261,7,6,1,1,1,Haze,Medium,0.78,0.454,0,1.6,0,50,544.98
MX000029,2024-01-02 04:00:00,28.43338363355505,77.32501863540821,28.63006668337965,76.92191886389118,3,9.307255587524573,16,0,1,1,0,Clouds,High,0.423,0.7,0,3.0,0,42,249.07
MX000030,2024-01-02 05:00:00,28.63213224195274,77.2227637935781,28.625990755978883,76.93902545794762,1,25.04446576643792,8,0,0,1,0,Fog,Medium,0.491,0.206,0,1.4,0,35,54.54
MX000031,2024-01-02 06:00:00,28.75938410750347,77.2297933796736,28.456605056900944,77.00259821915321,2,6.626899477239756,5,2,1,0,0,Haze,High,0.459,0.462,0,3.3,1,46,459.18
MX000032,2024-01-02 07:00:00,28.648410404382375,77.05965106439311,28.435402536490198,77.29842565352858,1,17.85612469536425,16,4,1,0,0,Clouds,Medium,0.241,0.551,0,3.0,0,35,773.34
MX000033,2024-01-02 08:00:00,28.701319673510174,77.02262890374453,28.766203882223685,77.34778958698008,1,25.34952396043121,15,2,0,0,0,Haze,High,0.975,0.345,0,2.3,1,25,140.77
MX000034,2024-01-02 09:00:00,28.81523686654738,77.22279913401921,28.70035009701558,77.02475301532884,1,4.076398222265832,8,3,0,1,0,Haze,Low,0.647,0.717,0,1.1,0,3,594.22
MX000035,2024-01-02 10:00:00,28.58032533521205,77.33689225034564,28.756325621589287,77.06256658167553,1,17.500835343452366,19,4,1,1,0,Haze,Low,0.818,0.828,0,2.7,0,30,175.05
MX000036,2024-01-02 11:00:00,28.84744063618869,77.21302258696167,28.77817301945991,77.36436783237839,2,7.576237047081322,15,5,1,1,1,Clouds,Low,0.248,0.912,0,2.8,0,49,393.14
MX000037,2024-01-02 12:00:00,28.437395190873318,77.20010612107806,28.736606708230006,77.10086871027794,2,10.492503968360772,14,2,0,1,1,Rain,High,0.49,0.61,0,3.1,1,36,170.77
MX000038,2024-01-02 13:00:00,28.417663768627392,77.17392958688131,28.667539421136436,77.38775779861531,2,4.0871715009984015,7,6,1,0,0,Clear,Low,0.844,0.693,0,2.0,1,26,677.63
MX000039,2024-01-02 14:00:00,28.559398838174552,77.2334891904749,28.510471069022376,77.00951722651342,1,24.512529948552782,1,1,0,0,1,Clouds,Medium,0.782,0.144,0,3.3,0,47,490.56
MX000040,2024-01-02 15:00:00,28.431572292895087,77.10786459050918,28.820610855809754,77.30379397528668,2,18.636639420351706,10,4,1,1,0,Clear,Medium,0.622,0.195,0,1.6,0,10,680.43
MX000041,2024-01-02 16:00:00,28.863472102466684,77.3698081326556,28.75277555922081,76.9878029458298,3,4.287648665646645,16,1,0,1,0,Clouds,Medium,0.334,0.445,0,1.1,0,30,760.95
MX000042,2024-01-02 17:00:00,28.862077190214446,77.29798507185943,28.783476950424678,77.29428204898059,3,1.4818851248802904,15,2,0,0,1,Clouds,High,0.923,0.342,0,2.5,0,15,217.38
MX000043,2024-01-02 18:00:00,28.67172502665809,77.16029357257906,28.69658983769206,76.9612663707599,1,27.142530883687293,3,2,1,1,0,Fog,Low,0.63,0.244,0,2.3,0,36,727.86
MX000044,2024-01-02 19:00:00,28.50961718940371,77.03639692464134,28.685214568799235,76.96475560105438,1,16.833013434089764,12,5,0,1,1,Fog,High,0.54,0.524,0,3.3,1,50,500.38
MX000045,2024-01-02 20:00:00,28.412604709978222,77.1201649589627,28.469872842565305,77.02937873603005,1,25.376408015465547,19,1,0,0,0,Rain,Medium,0.132,0.816,0,2.5,0,3,252.35
MX000046,2024-01-02 21:00:00,28.639967817978135,77.05733978578722,28.545489378472116,77.24084706205439,3,20.828600913942136,17,1,0,1,1,Clouds,High,0.515,0.225,0,3.4,0,17,485.74
MX000047,2024-01-02 22:00:00,28.4478233372085,77.30332449216732,28.780390004970997,76.9371567018706,1,10.837148515574787,18,4,0,1,0,Haze,Medium,0.515,0.71,0,1.5,0,11,236.94
MX000048,2024-01-02 23:00:00,28.47359745076439,77.01196474710191,28.839015725414136,77.28192565583966,1,13.951808291810176,22,0,0,1,0,Clear,Low,0.8,0.841,0,1.6,0,18,608.85
MX000049,2024-01-03 00:00:00,28.870498624908993,77.09714558563118,28.662895295305542,77.05893254088106,1,10.272555711369966,21,1,0,0,0,Fog,Low,0.766,0.175,0,1.8,0,47,376.89
MX000050,2024-01-03 01:00:00,28.443040199621727,77.31241241729624,28.49862531644804,77.06378035694152,1,22.532319161207877,10,1,0,0,1,Rain,Medium,0.808,0.892,0,1.6,0,58,644.31
MX000051,2024-01-03 02:00:00,28.501111367725965,77.38992245707387,28.585062650644634,77.15409689577635,1,21.987802545707744,22,4,0,1,0,Fog,High,0.963,0.631,0,1.4,0,39,547.68
MX000052,2024-01-03 03:00:00,28.560698179797697,77.31151863569463,28.47092682502695,77.36788358990654,2,8.880879695212942,7,6,1,1,1,Clear,Medium,0.235,0.821,0,1.1,1,17,232.93
MX000053,2024-01-03 04:00:00,28.686906787416888,77.21631154461025,28.429207739440958,77.26063652475375,1,13.270719567556952,9,2,1,1,0,Rain,High,0.334,0.171,0,2.5,0,10,578.35
MX000054,2024-01-03 05:00:00,28.78695265917006,77.13322620952601,28.456345567427753,77.21493111014779,1,29.436658987928155,18,0,0,1,0,Clear,High,0.903,0.236,0,3.0,0,28,216.82
MX000055,2024-01-03 06:00:00,28.706469569224137,76.96472740526202,28.458887299800875,77.01554156827667,3,29.27197885743702,15,2,0,0,0,Clouds,Medium,0.88,0.567,0,2.8,0,55,679.28
MX000056,2024-01-03 07:00:00,28.686907612103617,77.01498338262554,28.562854277531113,77.3964675212603,1,7.527039321614546,23,5,1,1,0,Clear,Medium,0.786,0.933,0,1.3,1,30,185.47
MX000057,2024-01-03 08:00:00,28.547863274421253,77.3446255369602,28.427116989901386,76.91362163494213,1,2.0577025663192794,10,2,0,0,0,Fog,Low,0.788,0.131,0,3.3,0,57,77.43
MX000058,2024-01-03 09:00:00,28.676261882411886,77.38540058968292,28.78389196486746,77.38302962627371,1,27.995994319055185,4,3,0,0,1,Haze,Medium,0.368,0.706,0,2.0,0,12,623.11
MX000059,2024-01-03 10:00:00,28.45001149424688,77.26220461778834,28.678737654417336,77.29229179109369,1,5.765075237455369,8,6,0,1,0,Clouds,Low,0.108,0.157,1,2.8,0,18,753.56
MX000060,2024-01-03 11:00:00,28.783574185888607,77.27673897320143,28.744816402342323,77.2933957871015,2,28.136291652582944,12,1,1,0,0,Clear,High,0.877,0.514,0,1.1,0,7,193.65
MX000061,2024-01-03 12:00:00,28.488903892174136,77.18032992037175,28.664595418483877,76.99486435585521,1,28.267779525907805,4,3,1,0,0,Fog,Low,0.923,0.218,0,1.1,0,19,467.24
MX000062,2024-01-03 13:00:00,28.503488729346227,77.1025349417531,28.58824972788294,77.0135534692683,3,25.190718242872695,1,4,1,0,1,Fog,Medium,0.583,0.662,0,2.5,0,17,753.64
MX000063,2024-01-03 14:00:00,28.632492275294176,77.11788672424068,28.462147756911,76.95820661861077,1,21.58676634433812,9,2,1,1,1,Fog,High,0.773,0.676,0,2.1,1,21,358.12
MX000064,2024-01-03 15:00:00,28.414364639664566,77.1786427464497,28.686435969882556,77.36784357790361,1,23.72924226979208,8,5,0,0,0,Clear,Low,0.187,0.379,0,2.9,0,36,702.94
MX000065,2024-01-03 16:00:00,28.56056870501044,77.1015648736515,28.793304640530902,77.36992092555813,2,1.8140123783267428,1,5,1,1,0,Fog,High,0.358,0.894,0,1.1,0,49,766.38
MX000066,2024-01-03 17:00:00,28.744583863825607,77.05931280676623,28.81164957116059,76.99069486698538,1,14.62966365327845,10,1,0,0,1,Haze,Low,0.288,0.138,0,1.9,0,19,610.93
MX000067,2024-01-03 18:00:00,28.427971915905143,76.92767961352297,28.819078537530356,77.15063607298467,3,10.60083644963268,23,3,1,0,0,Clear,Medium,0.221,0.193,0,2.6,1,25,74.01
MX000068,2024-01-03 19:00:00,28.540356492498514,77.02729339048473,28.849954140479234,77.36433710840721,1,11.337738895210856,13,6,0,0,0,Haze,Medium,0.755,0.593,0,2.0,1,35,610.41
MX000069,2024-01-03 20:00:00,28.725278329929072,77.07497051283114,28.429414776932678,77.1042725108122,1,6.242722933922676,2,5,0,1,0,Haze,Low,0.427,0.205,0,2.6,0,43,432.78
MX000070,2024-01-03 21:00:00,28.592846165803508,77.39367088228258,28.858753682674447,77.078032372769,2,20.455517727821068,9,6,1,0,0,Haze,High,0.789,0.858,0,3.0,0,24,231.08
MX000071,2024-01-03 22:00:00,28.568416069661783,77.32415772698616,28.75403387541202,77.36319571079244,2,9.552877486292406,15,0,1,0,1,Fog,High,0.318,0.311,0,3.4,0,21,195.79
MX000072,2024-01-03 23:00:00,28.539188414691285,77.2169827574294,28.86442171528007,77.34010703706286,1,1.6747474154461737,17,3,0,1,1,Haze,Medium,0.466,0.609,0,1.4,0,11,415.39
MX000073,2024-01-04 00:00:00,28.477031861202605,77.10438894521444,28.472369048330105,77.04565544786313,3,3.766599021208105,20,1,1,0,0,Rain,High,0.986,0.999,0,1.9,0,47,785.93
MX000074,2024-01-04 01:00:00,28.608764196694793,77.14252848687485,28.663055446717387,76.94001428217541,1,11.814467682381796,5,6,0,1,1,Rain,Low,0.269,0.296,0,2.3,0,24,515.37
MX000075,2024-01-04 02:00:00,28.420059263298743,77.10547983545527,28.636739472880322,77.18912097066206,1,11.264023335255299,22,3,1,0,1,Rain,Low,0.82,0.714,0,2.9,0,22,780.64
MX000076,2024-01-04 03:00:00,28.67581383260978,77.20305737024897,28.729329319796065,76.92085027301628,1,11.07020067347243,22,2,1,0,1,Haze,Low,0.928,0.426,0,1.0,1,15,771.11
MX000077,2024-01-04 04:00:00,28.629295759969256,76.97239420440992,28.777641123551874,77.09589631688466,1,7.055758171012834,1,5,0,0,0,Clear,High,0.848,0.311,0,1.2,0,26,565.96
MX000078,2024-01-04 05:00:00,28.70476978926948,76.93549238380278,28.42708305994526,77.13391631098428,1,20.257691971468606,10,4,1,1,1,Haze,Low,0.172,0.669,0,3.5,0,46,327.8
MX000079,2024-01-04 06:00:00,28.878022814216422,77.10782322381631,28.745019171113565,77.39098040602788,1,20.39831665765971,18,4,0,1,0,Rain,High,0.983,0.542,0,1.3,1,43,123.38
MX000080,2024-01-04 07:00:00,28.4906657812226,77.16069649370347,28.817265085212398,77.21803086346914,1,12.55821364789727,21,0,0,1,1,Clouds,Medium,0.115,0.327,0,1.8,0,30,786.75
MX000081,2024-01-04 08:00:00,28.603757962676763,76.91271987322683,28.699106120782808,76.93215605706968,1,16.029958978736946,19,5,1,0,1,Haze,Low,0.636,0.936,0,3.1,0,7,414.15
MX000082,2024-01-04 09:00:00,28.832005521868123,77.16967825192597,28.56500218282233,77.09344916192782,1,18.175741424559,13,5,1,1,0,Clouds,Low,0.892,0.97,0,1.5,0,11,76.69
MX000083,2024-01-04 10:00:00,28.73384832400652,77.20650089673221,28.727580616585332,77.30203470910249,3,22.250903600379633,3,1,0,0,0,Haze,Medium,0.76,0.49,0,3.2,0,50,618.94
MX000084,2024-01-04 11:00:00,28.812120181166947,77.05661285368235,28.729106636104106,77.38136846470397,1,10.311509795824259,7,1,0,1,1,Haze,Low,0.208,0.498,0,2.1,0,7,770.93
MX000085,2024-01-04 12:00:00,28.560211518048053,76.92528233106339,28.503863085597324,77.18776796792531,1,11.345430439401223,10,5,1,1,1,Clear,High,0.226,0.979,0,2.0,0,18,519.94
MX000086,2024-01-04 13:00:00,28.471304623843775,76.94473625833142,28.599344943433728,77.35090263470904,3,22.261751451611765,8,2,1,0,0,Clear,High,0.361,0.172,0,1.7,0,57,268.09
MX000087,2024-01-04 14:00:00,28.635827094762856,77.3363606944887,28.426696414897954,77.22317939480412,3,21.124255091961142,2,1,0,1,1,Clear,High,0.316,0.981,0,2.4,0,4,379.97
MX000088,2024-01-04 15:00:00,28.847586850913274,76.92636341912115,28.740950082035567,77.12945193049816,1,6.506006934770645,7,1,0,0,0,Fog,Low,0.702,0.583,1,3.4,0,50,176.51
MX000089,2024-01-04 16:00:00,28.798991113329677,77.30819118005873,28.554476498958138,76.91901968347725,1,28.829284499661963,5,6,0,1,0,Clear,High,0.334,0.815,0,3.0,0,56,152.53
MX000090,2024-01-04 17:00:00,28.41975348177091,76.9179407381001,28.789066683966446,77.25230878493154,1,3.821038950341093,23,0,0,1,0,Fog,Medium,0.827,0.126,0,2.6,0,31,601.69
MX000091,2024-01-04 18:00:00,28.445068032389013,76.97244227674994,28.5869537903682,77.10286223506162,3,11.905807482231932,14,3,0,1,1,Clouds,Medium,0.252,0.267,0,3.1,0,44,72.78
MX000092,2024-01-04 19:00:00,28.66424377251626,76.92851124839827,28.7358439239565,77.18484096591087,1,26.68062467670925,12,5,0,0,1,Fog,Medium,0.223,0.873,0,3.4,0,51,546.19
MX000093,2024-01-04 20:00:00,28.754702902810344,77.2377977515864,28.817558162331498,77.21297803098598,2,9.32908792657065,3,1,0,1,0,Haze,Medium,0.618,0.977,0,1.9,1,42,718.31
MX000094,2024-01-04 21:00:00,28.808784454822298,77.11693631422953,28.744609602250968,77.18815689779922,1,20.70682516656565,4,5,0,1,1,Haze,Medium,0.443,0.713,0,1.7,0,17,763.02
MX000095,2024-01-04 22:00:00,28.842550260704687,77.00406345845128,28.50510076703517,77.20396574252548,4,23.75758370069773,17,2,0,1,1,Haze,Medium,0.824,0.798,0,3.3,0,35,785.77
MX000096,2024-01-04 23:00:00,28.585943178735292,76.95223136352423,28.55460425302611,77.24195652073045,1,26.958765871780702,15,3,1,1,0,Rain,Medium,0.498,0.175,0,1.0,1,9,161.39
MX000097,2024-01-05 00:00:00,28.664638936355825,76.95251210065221,28.573968636897515,77.00865460941613,1,28.398967226887308,7,5,0,0,0,Clouds,Low,0.768,0.155,0,3.3,1,39,394.11
MX000098,2024-01-05 01:00:00,28.44732607981097,77.28043727648713,28.86480307186354,77.12343772912689,1,4.713410049543338,19,3,0,0,1,Fog,Low,0.732,0.207,0,1.3,0,32,681.6
MX000099,2024-01-05 02:00:00,28.76579910073679,77.23867705913116,28.491132864951027,77.10328920214799,2,18.87925284639757,9,2,1,0,1,Rain,High,0.248,0.425,0,1.1,0,38,210.82
MX000100,2024-01-05 03:00:00,28.79463453664382,77.34835089717524,28.717145952935294,77.08890283823987,1,10.015648910163241,6,1,1,0,1,Rain,High,0.861,0.541,0,2.6,0,40,343.42
MX000101,2024-01-05 04:00:00,28.847223944318884,77.17305972427626,28.8332417120679,77.22687800422963,1,6.534405895289676,22,4,1,0,1,Clear,Medium,0.97,0.917,0,3.0,1,3,412.15
MX000102,2024-01-05 05:00:00,28.549251168061616,77.24635885721973,28.51587724907775,76.94518500220792,2,29.373036261028926,18,0,1,1,0,Fog,High,0.852,0.351,0,2.5,1,18,749.96
MX000103,2024-01-05 06:00:00,28.767266172996393,77.21481415108796,28.63099741142606,77.03536310770005,2,5.663973802297764,5,6,0,0,1,Rain,Low,0.915,0.125,0,1.5,0,24,142.56
MX000104,2024-01-05 07:00:00,28.693155129745282,77.16095200442622,28.53318103123801,77.18091366331164,1,16.68074247963448,2,2,0,1,0,Fog,Medium,0.699,0.501,0,1.1,1,33,122.87
MX000105,2024-01-05 08:00:00,28.616596072237634,77.3641791061413,28.417887392227037,77.24718346540472,1,23.515112605712485,22,2,0,0,1,Haze,High,0.575,0.619,0,1.9,0,17,390.58
MX000106,2024-01-05 09:00:00,28.747241081929555,77.27468177205445,28.876387890241844,77.04533914118984,4,2.227855124379995,3,1,0,0,1,Rain,Low,0.969,0.955,0,1.0,1,10,527.2
MX000107,2024-01-05 10:00:00,28.431039835494662,77.15676073730586,28.622087430271524,77.23158966278783,2,5.030639494238581,11,4,1,1,0,Fog,Medium,0.579,0.628,0,3.4,0,49,106.79
MX000108,2024-01-05 11:00:00,28.471595216778944,76.99091401999662,28.55202698124158,77.16990013631037,1,25.208355027109516,23,5,0,1,0,Rain,Low,0.409,0.456,1,2.2,0,44,444.39
MX000109,2024-01-05 12:00:00,28.81408426884545,77.30305496103365,28.85352134382182,77.21409830688215,2,2.7638722107722637,20,5,0,1,1,Haze,Medium,0.362,0.476,0,2.6,0,11,377.19
MX000110,2024-01-05 13:00:00,28.875854483726503,77.207125291808,28.757896645036553,77.17776301954595,1,4.752142108829751,10,5,0,1,0,Haze,Medium,0.498,0.22,0,3.0,0,37,447.01
MX000111,2024-01-05 14:00:00,28.79697441085439,77.15920824916016,28.59126249432901,77.23135129904296,1,28.584709249760383,17,2,0,1,0,Clear,Medium,0.489,0.663,0,1.9,0,14,348.92
MX000112,2024-01-05 15:00:00,28.722341037197562,77.26549767024889,28.678183180406478,77.22884697494058,2,2.0204353605813603,10,0,0,1,0,Rain,High,0.91,0.567,0,2.2,0,47,134.39
MX000113,2024-01-05 16:00:00,28.40831396516062,77.30370662351248,28.589338948464505,77.25226328039209,1,23.062242033171913,10,3,1,0,1,Haze,High,0.117,0.107,0,1.4,0,27,55.81
MX000114,2024-01-05 17:00:00,28.42922452897559,77.19234319147543,28.577242220916613,77.18658441928025,1,23.964935248493305,0,4,0,1,1,Haze,Low,0.929,0.476,0,2.5,0,7,359.97
MX000115,2024-01-05 18:00:00,28.617835167699955,76.97809848620346,28.465202484942456,77.3687341566115,2,14.27276564793628,6,0,1,0,1,Clear,Low,0.743,0.986,0,2.8,0,26,125.78
MX000116,2024-01-05 19:00:00,28.48833959470247,77.2482081491935,28.80759226683531,77.21777978737819,1,26.80239057581966,15,1,1,1,1,Fog,Low,0.371,0.582,0,3.2,0,24,605.07
MX000117,2024-01-05 20:00:00,28.76957659504609,77.0561277824774,28.56760985340323,77.23873329153217,1,24.399712237181493,1,2,0,1,1,Haze,Low,0.443,0.763,0,1.0,1,46,185.87
MX000118,2024-01-05 21:00:00,28.60661540952809,77.11680081286636,28.584127423984107,77.26092179889818,4,21.255777373297967,3,3,0,0,0,Haze,High,0.869,0.322,0,3.4,1,34,93.23
MX000119,2024-01-05 22:00:00,28.843369300375457,76.98159556580487,28.735107146815544,77.31224967668739,2,14.162247226251324,12,3,1,1,0,Haze,Low,0.588,0.216,0,2.6,0,26,316.49
MX000120,2024-01-05 23:00:00,28.46330750426971,77.2176411099243,28.858825255105657,77.03778855858424,1,20.874214921696066,21,6,0,0,1,Clear,High,0.57,0.547,0,2.3,0,38,604.66
MX000121,2024-01-06 00:00:00,28.686889379899178,77.29097130208811,28.628987982672186,76.91683874612875,1,16.990412657238497,2,0,0,1,1,Rain,High,0.71,0.192,0,1.8,0,32,371.65
MX000122,2024-01-06 01:00:00,28.432886599306062,77.34757061332353,28.86958983234723,77.35552394432622,1,15.046051893610418,15,5,0,0,1,Rain,Medium,0.312,0.563,0,2.6,1,33,512.8
MX000123,2024-01-06 02:00:00,28.83466320442137,77.1744401142495,28.53450544503972,77.35836393727932,1,12.402301790980639,10,3,0,1,0,Clouds,High,0.562,0.289,0,1.0,0,33,711.46
MX000124,2024-01-06 03:00:00,28.810180342872894,77.05588477639968,28.511048232893998,77.15978932028737,4,8.093077949607508,20,3,0,0,0,Fog,Low,0.7,0.35,0,1.5,0,5,221.02
MX000125,2024-01-06 04:00:00,28.40603218540922,77.06824787238067,28.765844231271448,76.90394695866196,2,16.994880794182748,6,1,1,0,0,Clouds,Low,0.297,0.943,0,2.1,0,42,174.62
MX000126,2024-01-06 05:00:00,28.627203983151478,77.18378757411209,28.51644897215997,76.98141247390741,1,26.306310142627716,15,2,0,1,1,Rain,Medium,0.777,0.657,0,1.7,0,51,463.94
MX000127,2024-01-06 06:00:00,28.610515149890112,77.0604124935707,28.675564165982486,77.17268916724103,1,6.48786058165647,12,6,0,0,1,Haze,Low,0.235,0.873,0,2.7,0,55,503.52
MX000128,2024-01-06 07:00:00,28.611285121527445,77.38574365706057,28.644602029221627,77.20752259340925,1,5.18890404969161,9,2,0,0,0,Rain,High,0.153,0.605,0,1.7,0,41,714.1
MX000129,2024-01-06 08:00:00,28.547524408693736,77.01073607517142,28.848130795127815,77.20909610906351,2,26.269870855114313,5,2,0,1,0,Clear,Medium,0.525,0.47,0,1.5,1,35,243.37
MX000130,2024-01-06 09:00:00,28.794926624828637,77.35200480447664,28.54365009102188,77.25276021188081,1,4.407397242668196,23,1,0,0,1,Fog,Low,0.935,0.971,0,2.7,0,54,552.81
MX000131,2024-01-06 10:00:00,28.421459894814724,77.16440435592314,28.645091802751164,77.09155722992374,1,6.731358772943828,8,3,0,1,1,Clear,High,0.624,0.172,1,2.1,1,11,223.02
MX000132,2024-01-06 11:00:00,28.54455363167338,77.15267032408924,28.438210222047605,77.3362293641177,1,8.213118510363556,12,5,0,0,1,Fog,Low,0.526,0.938,0,3.0,0,56,250.68
MX000133,2024-01-06 12:00:00,28.83558511395065,77.3650683087353,28.62369682995337,77.0840660926368,1,24.761760497114768,22,5,1,0,0,Clear,Medium,0.307,0.401,0,1.2,0,16,74.39
MX000134,2024-01-06 13:00:00,28.577423780408438,77.19611240283942,28.484997103243042,77.01058204473756,3,14.10102506462721,18,1,1,0,1,Fog,Low,0.538,0.501,0,1.1,0,8,755.41
MX000135,2024-01-06 14:00:00,28.540236283233387,77.21531870171624,28.85020605478737,77.12205540960208,1,13.836843269734985,1,6,0,1,1,Clear,Low,0.433,0.259,0,2.8,0,52,782.96
MX000136,2024-01-06 15:00:00,28.57443254218705,76.95486869727577,28.656800474453878,77.30624231773432,4,10.450426435423015,18,2,1,0,0,Clear,Low,0.762,0.104,0,1.7,0,18,422.98
MX000137,2024-01-06 16:00:00,28.657120614471587,77.12623306672646,28.53873328923509,77.04807974839304,1,10.63034291673935,1,1,1,0,0,Rain,Low,0.543,0.517,0,1.1,0,51,167.78
MX000138,2024-01-06 17:00:00,28.69861378597265,76.95147496927564,28.863642369679784,77.24441455011518,1,5.900337784580238,19,0,1,0,1,Rain,Low,0.179,0.237,0,2.4,0,30,293.39
